claim_id,disposition,source_type,source_title,publisher,url,publication_date,data_year,measurement_window,geography,population,denominator,definition,limitations,access_date,reviewer,review_date,public_use_approval
FW-04-A-001,verified,primary,"Maternal Mortality Rates in the United States 2024","CDC NCHS",https://blogs.cdc.gov/nchs/2026/03/04/7885/,2026-03-04,2024,"pregnancy through 42 days","United States","NVSS maternal deaths","2024 live births","maternal deaths per 100000 live births","not interchangeable with PMSS; death-certificate limitations",2026-07-16,"Codex primary-source metadata review (not expert review)",2026-07-16,true
FW-04-A-002,verified,primary,"Maternal Mortality Rates in the United States 2024","CDC NCHS",https://blogs.cdc.gov/nchs/2026/03/04/7885/,2026-03-04,2024,"pregnancy through 42 days","United States","non-Hispanic Black and White women","race-specific 2024 live births","race-specific maternal deaths per 100000 live births","year-over-year changes not statistically significant",2026-07-16,"Codex primary-source metadata review (not expert review)",2026-07-16,true
FW-04-A-003,verified,primary,"Pregnancy-Related Deaths: MMRCs in 36 States 2017-2019",CDC,https://www.cdc.gov/maternal-mortality/media/pdfs/Pregnancy-Related-Deaths-Data-MMRCs-2017-2019-H_1.pdf,2022-09-19,2017-2019,"pregnancy through one year","36 U.S. states","MMRC-reviewed pregnancy-related deaths","deaths with preventability determination","chance death could be averted by reasonable changes","not a national mortality rate",2026-07-16,"Codex primary-source metadata review (not expert review)",2026-07-16,true
FW-04-A-004,verified,primary,"PMSS Frequently Asked Questions",CDC,https://www.cdc.gov/maternal-mortality/php/pregnancy-mortality-surveillance-data/faqs.html,2024-11-21,,"42 days versus one year","United States","deaths captured by NVSS PMSS or MMRC",,"systems use different definitions and methods","cannot directly compare systems",2026-07-16,"Codex primary-source metadata review (not expert review)",2026-07-16,true
FW-04-A-005,verified,primary,"Urgent Maternal Warning Signs and Symptoms","CDC Hear Her",https://www.cdc.gov/hearher/maternal-warning-signs/index.html,2024-05-15,,"pregnancy through one year after delivery","United States","pregnant and postpartum people",,"generic warning-sign education","not exhaustive; not diagnosis",2026-07-16,"Codex primary-source metadata review (not expert review)",2026-07-16,true
FW-04-A-006,qualified,primary,"The access right health apps and APIs","HHS OCR",https://www.hhs.gov/hipaa/for-professionals/privacy/guidance/access-right-health-apps-apis/index.html,2025-05-30,,current,"United States federal law","apps covered entities and business associates",,"fact-specific HIPAA relationship analysis","not legal advice; state law may apply",2026-07-16,"Codex primary-source metadata review (not legal review)",2026-07-16,true
FW-04-A-007,qualified,primary,"Health Breach Notification Rule",FTC,https://www.ftc.gov/legal-library/browse/rules/health-breach-notification-rule,2024-05-30,,current,"United States federal law","PHR vendors and related entities",,"16 CFR Part 318","fact-specific; state law may apply",2026-07-16,"Codex primary-source metadata review (not legal review)",2026-07-16,true
FW-04-A-008,qualified,primary,"Policy for Device Software Functions and Mobile Medical Applications",FDA,https://www.fda.gov/regulatory-information/search-fda-guidance-documents/policy-device-software-functions-and-mobile-medical-applications,2022-09-27,,current,"United States federal law and policy","software functions",,"function-specific device oversight","does not classify this concept",2026-07-16,"Codex primary-source metadata review (not regulatory review)",2026-07-16,true
FW-04-A-009,qualified,secondary,"Federal Rule of Evidence 901","Federal Rules of Evidence via LII",https://www.law.cornell.edu/rules/fre/rule_901,,,current,"United States federal courts","evidence proponents",,"authentication threshold","other rules and jurisdiction remain relevant",2026-07-16,"Codex primary-source metadata review (not legal review)",2026-07-16,true
FW-04-B-010,awaiting-review,,,,,,,,,,,,"clinical dismissal and pain-bias queue",2026-07-16,,,false
FW-04-B-011,awaiting-review,,,,,,,,,,,,"early-warning and patient-response queue",2026-07-16,,,false
FW-04-B-012,awaiting-review,,,,,,,,,,,,"doula outcomes queue",2026-07-16,,,false
FW-04-B-013,awaiting-review,,,,,,,,,,,,"competitor audit queue",2026-07-16,,,false
FW-04-B-014,unsuitable-for-public-use,,,,,,,,,,,,"individual cases require primary records and legal/ethical review",2026-07-16,,,false
