framework_number,framework_title,slug,category,enterprise_layer,hidden_foundation,documented_research,statistics,economic_impact,evidence_confidence,implementation_roadmap,procurement_checklist,roi_calculator_logic,pilot_guide,policy_brief,primary_buyer,secondary_stakeholders,affected_public,core_data_inputs,key_workflow,demo_type,legacy_maturity_notes,procurement_readiness,pilot_readiness,policy_readiness,risk_level,primary_disclaimer,source_status,public_claim_status,github_repo_url,demo_url,framework_url,substack_url,linkedin_launch_url,maturity_stage,preview_type,research_citations,expert_review,related_framework_slugs
"01","Women's Health Longitudinal Dashboard","womens-health-longitudinal-dashboard","HealthTech / Patient Data","Patient-owned clinical context infrastructure","Longitudinal symptom tracking, cycle context, clinical readiness. Patients organize data; clinicians receive structured context.","Source: Needs verification","Needs source verification","Needs source verification","Level 1: Conceptual, based on observed system failure","Interactive prototype live. Repo structure ready. Needs: MVP user testing, clinical validation.","HIPAA compliance. Patient consent flows. EHR interop readiness.","Patient prep time saved x visit efficiency gain x clinical accuracy improvement.","Start: single clinic, 20 patients, 12-week cycle.","Patient data ownership. Clinical context integration. Privacy standards.","Clinics, health systems, patient advocacy organizations","EHR vendors, health tech platforms, patient data networks","Women with chronic symptoms, cycling-dependent conditions (PCOS, endometriosis, etc.)","Symptoms, cycle phase, labs, medications, life events, clinical questions","Track symptoms → add cycle context → export visit-ready report → clinical review","Live interactive dashboard","Spec Ready, Interactive Prototype, Repo Live","Ready for Internal Review","Ready for Public Preview","Needs Review","Low","Not a diagnostic tool. Not medical advice. Designed to help patients organize their own data.","Needs verification","Safe to publish","https://github.com/thehustleisholy-ship-it/thihsystems-frameworks","/frameworks/womens-health-longitudinal-dashboard/demo","/frameworks/womens-health-longitudinal-dashboard","https://substack.com/@michaelmartinthih","https://www.linkedin.com/company/124453928/","Interactive Prototype","interactive-prototype","[]","","[""black-maternal-health-emergency-response-system"",""chronic-pain-evidence-journal""]"
"02","Job-Loss & Income-Shock Stabilizer","job-loss-income-shock-stabilizer","Workforce Transition Infrastructure","Workforce transition continuity","The first 30 days after job loss determine the next 3 years. Operating system for income-loss stabilization.","Secondary research compiled. BLS job displacement data, Federal Reserve household fragility, NBER job-loss effects, state UI administrative data, workforce program evaluations, benefits cliff research.","Job displacement causes 20-40% earnings loss; 40% of households lack $400 emergency fund; UI replacement rate 40-50% of prior wage; ~50% never return to pre-loss wage level.","Assumptions-based ROI model: $1,178 cost vs. $22,782 modeled benefit (18.3x return under assumptions). Modeled break-even at 0.2 weeks accelerated employment. Requires pilot validation for actual outcomes.","Level 2: Supported by credible secondary research","Concept structured (complete). Concept preview (30-day workflow designed). Pilot ready (workforce partner identified, participant recruitment plan drafted). Scale decision after 12-month pilot (month 12 of 2026).","Lead implementation partner RFP. Benefits calculator development per state. Assessment platform procurement/build. Staff hiring (1 PM, 2-3 advisors, 1 coach, 0.5 evaluator). Data integration setup. Interagency MOU (UI, WIOA, emergency assistance). Participant communications. Pilot launch infrastructure.","Modeled ROI scenario (not validated): $1,178 cost × (modeled accelerated reemployment $5,400 + wage improvement $11,232 + avoided instability $1,750 + government savings $4,400) = 18.3x modeled ROI. Conservative scenario (30% realization) = 4.8x. Actual ROI requires pilot data.","50-75 job-loss cases over 6 months, with matched comparison group. Intensive 30-day service delivery (intake, benefits analysis, job search, offer support). Outcomes tracking at 30-day, 90-day, 6-month, 12-month. Evaluation by external evaluator.","Rapid coordination framework linking UI, workforce development, emergency assistance. Model state statute for automatic referral and rapid response. Interagency MOU template provided. Benefits calculator standardization. Emergency assistance fast-track.","State Departments of Labor, state workforce development boards, employers with transition budgets, nonprofit workforce providers","Unemployment insurance administrators, emergency assistance coordinators, community action agencies, workforce development partners","Displaced workers (~2M/year U.S.); families dependent on displaced worker income; communities experiencing job-loss economic impact","Participant financial situation (income, expenses, debt, savings); employment history & skills; benefits eligibility (UI, SNAP, childcare, housing); state benefits rules; job market data; wage records (for outcome validation)","Day 1-3: Intake & assessment (financial, career, benefits). Day 4-7: Benefits cliff analysis & financial triage. Day 8-21: Job search acceleration. Day 22-30: Offer evaluation & decision support. Follow-up: 30-day, 90-day, 6-month, 1-year outcomes.","Interactive 30-day workflow tracker, state benefits calculator, job search bootcamp checklist, offer evaluation tool, outcomes dashboard","Concept Structured, Implementation Roadmap Complete, Pilot planning documented; not pilot-ready","Ready for Internal Review","Ready for Public Preview","Ready for Internal Review","Low","Framework supports but does not replace professional financial, legal, or career counseling. Benefits information varies by state and is subject to policy changes. Results depend on labor market conditions and individual circumstances.","Source identified","Needs citation","https://github.com/thehustleisholy-ship-it/framework-02-job-loss-income-shock-stabilizer","/frameworks/job-loss-income-shock-stabilizer/demo","/frameworks/job-loss-income-shock-stabilizer","","","Structured Framework","concept-preview","[]","","[]"
"03","Returning Citizen Reentry Roadmap","returning-citizen-reentry-roadmap","Justice-to-Stability Infrastructure","Reentry service coordination","Freedom without infrastructure becomes another trap. Reentry coordination system.","Research queue required","Needs source verification","Needs source verification","Level 2: Supported by credible secondary research","Concept structured. Concept preview. Needs: reentry partner testing.","Housing coordination. Employment pathways. Legal requirement tracking. Support service mapping.","Recidivism reduction x employment placement x housing stability x family reunification.","Partner: reentry center. Participants: 30 returners, 12-month tracking.","Coordinated reentry as public infrastructure. System integration across justice, housing, employment.","Reentry centers, criminal justice agencies, community supervision","Public housing, workforce development, social services, faith-based organizations","Returning citizens, post-incarceration, reentry phase","Release requirements, documentation needs, housing leads, employment opportunities, legal compliance dates","Intake → documentation audit → pathway plan → requirement tracker → support coordination","Integrated reentry checklist and service mapper","Concept Structured, Concept Preview, Repo Pending","Needs Review","Drafted","Needs Review","Moderate","Supports but does not replace professional reentry services.","Not yet sourced","Needs citation","https://github.com/thehustleisholy-ship-it/framework-03-returning-citizen-reentry-roadmap","/frameworks/returning-citizen-reentry-roadmap/demo","/frameworks/returning-citizen-reentry-roadmap","","","Structured Framework","concept-preview","[]","","[]"
"04","Black Maternal Health Emergency Response System","black-maternal-health-emergency-response-system","Maternal Risk Escalation Infrastructure","Maternal red-flag escalation and advocacy","Being dismissed can become deadly. Escalation system for maternal safety.","Research queue required - CDC maternal mortality data","Needs source verification","Needs source verification","Level 2: Supported by credible secondary research","Concept structured. Concept preview. Needs: clinical partnership testing.","Clinical escalation protocols. Patient advocacy coordination. Hospital policy integration.","Maternal adverse events prevented x escalation speed x outcome improvement.","Partner: maternal health clinic. Track: risk escalations, response time, outcomes.","Maternal safety escalation as clinical standard. Institutional accountability.","Maternal health programs, OB/GYN departments, maternal mortality review boards","Hospitals, patient advocacy groups, public health departments","Pregnant and postpartum women, especially Black women and communities of color","Maternal health symptoms, risk factors, clinical dismissal patterns, escalation triggers","Symptom tracking → risk assessment → escalation flag → advocacy coordination → clinical review","Risk escalation protocol and advocacy coordination tool","Concept Structured, Concept Preview, Repo Pending","Needs Review","Drafted","Needs Review","High","Not clinical guidance. Supports but does not replace clinical care.","Source identified","Needs citation","https://github.com/thehustleisholy-ship-it/framework-04-black-maternal-health-emergency-response-system","/frameworks/black-maternal-health-emergency-response-system/demo","/frameworks/black-maternal-health-emergency-response-system","","","Structured Framework","concept-preview","[]","","[""womens-health-longitudinal-dashboard""]"
"05","Hospital Grid-Independence & Resilience Framework","hospital-grid-independence-resilience","Critical Facility Continuity","Critical facility continuity infrastructure","A hospital that cannot survive grid failure is not resilient care.","Research queue required - critical infrastructure resilience standards","Needs source verification","Needs source verification","Level 2: Supported by credible secondary research","Concept structured. Concept preview. Needs: hospital resilience testing.","Power systems. Fuel supply. Water resilience. Oxygen continuity. Staffing plans. Pharmacy resilience.","Grid-failure duration x patient safety x operational continuity x regulatory compliance.","Partner: regional hospital. Audit: 72-hour continuity across all systems.","Critical facility resilience as infrastructure standard. Continuity testing requirements.","Hospitals, health systems, emergency management agencies","Utility companies, fuel suppliers, medical equipment vendors","Patients dependent on hospital services, emergency medicine, critical care","Power capacity, backup fuel, water supply, oxygen generation, staffing rosters, pharmacy stock","Resilience audit → system mapping → 72-hour scenario test → continuity plan → implementation","Resilience audit checklist and continuity scenario planner","Concept Structured, Concept Preview, Repo Pending","Needs Review","Drafted","Drafted","High","Framework supports but does not replace clinical resilience standards.","Not yet sourced","Needs citation","https://github.com/thehustleisholy-ship-it/framework-05-hospital-grid-independence-resilience","/frameworks/hospital-grid-independence-resilience/demo","/frameworks/hospital-grid-independence-resilience","","","Structured Framework","concept-preview","[]","","[]"
"06","Eviction Defense Documentation System","eviction-defense-documentation-system","Housing Stability Infrastructure","Housing stability documentation infrastructure","Most people do not lose housing because they had no case. They lose because they had no system.","Research queue required - eviction defense data","Needs source verification","Needs source verification","Level 1: Conceptual, based on observed system failure","Concept structured. Concept preview. Needs: legal aid partner testing.","Evidence organization. Court preparation. Legal coordination. Timeline documentation.","Housing retained x legal success rate x court preparation time saved.","Partner: legal aid. Track: evidence organization speed, case outcomes.","Evidence vault access as housing justice infrastructure.","Legal aid organizations, tenant rights groups, housing counselors","Courts, judicial officers, landlord-tenant mediation services","Tenants facing eviction, low-income housing residents","Lease terms, payment history, communications, repair issues, legal notices","Evidence collection → organization → court-prep package → legal review → defense filing","Evidence vault and court-prep document organizer","Concept Structured, Concept Preview, Repo Pending","Needs Review","Drafted","Needs Review","Moderate","Supports but does not replace legal representation.","Not yet sourced","Needs citation","https://github.com/thehustleisholy-ship-it/framework-06-eviction-defense-documentation-system","/frameworks/eviction-defense-documentation-system/demo","/frameworks/eviction-defense-documentation-system","","","Structured Framework","concept-preview","[]","","[]"
"07","Phosphorus Recovery & Circular Fertilizer Framework","phosphorus-recovery-circular-fertilizer","Nutrient Security Infrastructure","Strategic nutrient recovery infrastructure","We are flushing food security into the ocean.","Research queue required - nutrient cycle, phosphorus geology","Needs source verification","Needs source verification","Level 2: Supported by credible secondary research","Concept structured. Concept preview. Needs: recovery facility partnership.","Wastewater infrastructure. Recovery technology. Fertilizer production. Regulatory compliance.","Phosphorus recovered x fertilizer production cost x agricultural value.","Partner: wastewater treatment facility. Measure: recovery rate, fertilizer production.","Nutrient recovery as food security infrastructure. Circular economy standards.","Wastewater treatment agencies, agricultural producers, fertilizer companies","Environmental agencies, farming cooperatives, nutrient research","Agricultural communities, food consumers, ecosystems dependent on nutrient cycles","Wastewater volume and composition, phosphorus content, recovery capacity, agricultural demand","Nutrient audit → recovery opportunity → technology selection → facility deployment → monitoring","Nutrient recovery opportunity and ROI calculator","Concept Structured, Concept Preview, Repo Pending","Needs Review","Drafted","Drafted","Moderate","Framework supports but does not replace environmental compliance requirements.","Not yet sourced","Needs softening","https://github.com/thehustleisholy-ship-it/framework-07-phosphorus-recovery-circular-fertilizer","/frameworks/phosphorus-recovery-circular-fertilizer/demo","/frameworks/phosphorus-recovery-circular-fertilizer","","","Structured Framework","concept-preview","[]","","[""ocean-dead-zone-reversal-hypoxia-recovery""]"
"08","Sand Crisis & Alternative Aggregate Supply Chain","sand-crisis-alternative-aggregate","Construction Material Resilience","Construction aggregate risk and substitution infrastructure","The world is running out of the sand modern life is built on.","Research queue required - aggregate market, sand mining impacts","Needs source verification","Needs source verification","Level 2: Supported by credible secondary research","Concept structured. Concept preview. Needs: construction industry testing.","Aggregate supply mapping. Alternative materials. Material substitution. Recycled content.","Aggregate supply risk mitigated x construction continuity x cost optimization.","Partner: construction project. Track: aggregate sourcing, substitution feasibility.","Aggregate security as construction infrastructure. Material substitution standards.","Construction companies, building departments, infrastructure agencies","Aggregate suppliers, recycled material producers, material science","Construction workers, building communities, infrastructure users","Aggregate demand, supply sources, transportation distance, recycled material availability, cost data","Supply audit → risk assessment → alternative sourcing → material testing → substitution plan","Aggregate supply risk mapper and substitution planner","Concept Structured, Concept Preview, Repo Pending","Needs Review","Drafted","Drafted","Moderate","Framework supports material planning but does not replace engineering validation.","Not yet sourced","Needs softening","https://github.com/thehustleisholy-ship-it/framework-08-sand-crisis-alternative-aggregate","/frameworks/sand-crisis-alternative-aggregate/demo","/frameworks/sand-crisis-alternative-aggregate","","","Structured Framework","concept-preview","[]","","[]"
"09","Topsoil Regeneration & No-Till Transition Accelerator","topsoil-regeneration-no-till-transition","Soil-Capital Preservation","Soil-health transition infrastructure","Soil is not dirt. It is civilization's savings account.","Research queue required - soil science, regenerative agriculture","Needs source verification","Needs source verification","Level 2: Supported by credible secondary research","Concept structured. Concept preview. Needs: agricultural partner testing.","Soil assessment. Transition planning. No-till equipment. Cover crop sourcing. Financial support.","Soil health improvement x crop yield recovery x input cost reduction x carbon credit value.","Partner: regional farm. Track: soil metrics, transition timeline, yield outcomes.","Soil transition as agricultural infrastructure. Regeneration investment frameworks.","Agricultural producers, farm bureaus, soil conservation districts","Equipment vendors, seed suppliers, carbon credit markets, agricultural research","Farming communities, food consumers, ecosystems dependent on soil health","Current soil metrics, farm size, crop type, existing equipment, financing capacity, regional conditions","Soil audit → transition planning → equipment and input sourcing → implementation → monitoring","Soil transition planner and ROI calculator","Concept Structured, Concept Preview, Repo Pending","Needs Review","Drafted","Drafted","Low","Framework supports transition planning but does not replace agronomic consultation.","Not yet sourced","Needs citation","https://github.com/thehustleisholy-ship-it/framework-09-topsoil-regeneration-no-till-transition","/frameworks/topsoil-regeneration-no-till-transition/demo","/frameworks/topsoil-regeneration-no-till-transition","","","Structured Framework","concept-preview","[]","","[""managed-aquifer-recharge-water-banking""]"
"10","Managed Aquifer Recharge & Underground Water Banking","managed-aquifer-recharge-water-banking","Water Security Infrastructure","Aquifer recharge, drought resilience, and underground water banking","Groundwater collapse is invisible until the wells run dry.","Research queue required - hydrogeology, aquifer science","Needs source verification","Needs source verification","Level 2: Supported by credible secondary research","Concept structured. Concept preview. Needs: water authority testing.","Hydrologic assessment. Recharge site identification. Water quality standards. Regulatory approval.","Water supply secured x drought resilience value x agricultural continuity x emergency reserves.","Partner: water authority. Measure: recharge volume, aquifer impact, drought buffer created.","Managed recharge as water security infrastructure. Aquifer banking as regional resilience.","Water agencies, agricultural irrigation districts, municipalities","Hydrogeology consultants, environmental agencies, climate adaptation planning","Communities dependent on groundwater, agricultural regions, drought-vulnerable areas","Aquifer characteristics, recharge potential, seasonal water availability, demand profiles, quality standards","Hydrogeologic survey → recharge potential assessment → site selection → regulatory approval → operation","Aquifer and water banking opportunity assessor","Concept Structured, Concept Preview, Repo Pending","Needs Review","Drafted","Drafted","Moderate","Framework supports planning but does not replace hydrogeological expertise.","Not yet sourced","Needs citation","https://github.com/thehustleisholy-ship-it/framework-10-managed-aquifer-recharge-water-banking","/frameworks/managed-aquifer-recharge-water-banking/demo","/frameworks/managed-aquifer-recharge-water-banking","","","Interactive Prototype","interactive-prototype","[]","","[""topsoil-regeneration-no-till-transition""]"
